como qualquer adolescente , so quer que gostem dela e ser aceite .	and like any teenager , she just wants to be liked and to fit in .
alterar e retocar e agora uma rotina ,	airbrushing is now routine .
e para alguns centros de dados , pode-se ter estas duas informacoes .	and for some data centers , you might get two of these pieces of information .
somos todos responsaveis .	we all take responsibility in this .
deveria ser mais como a contabilidade privada .	it should be more like private accounting .
muitas pessoas dizem-me que sou fotojornalista , que sou fotografo-antropologo , que sou fotografo-ativista .	many people tell me that you are a photojournalist , that you are an anthropologist photographer , that you are an activist photographer .
`` `` quanto custara ? '' ''	`` `` how much will it cost ? '' ''
num mundo onde mais de dois dias de video sao publicados a cada minuto , apenas aquilo que e verdadeiramente unico e inesperado consegue destacar-se da forma como estes videos se destacaram .	in a world where over two days of video get uploaded every minute , only that which is truly unique and unexpected can stand out in the way that these things have .
ja nao vivemos num mundo em que todas as coisas estao tao nitidamente delineadas , separadas umas das outras .	we no longer live in a world in which everything is as clearly delineated or separated from each other .
`` `` podemos conseguir uma mudanca na sociedade . '' chegou o dia . ''	`` we can bring about change in the society . '' '' the day has come . ''
elas nao surgem na vossa cabeca ?	do n't they just pop into your head ?
esta a aproximar-se mais e mais , e em 20 ..	it 's getting closer and closer , and in 20 ...
podemos ficar zangados com a coisa , as armas nucleares , neste caso , mas e inutil ficarmos zangados com as pessoas .	it 's okay to be angry with the thing — the nuclear weapons in this case — but it is hopeless to be angry with the people .
o que e mesmo importante saber e que os aspectos importantes sao as conversacoes , e nao apenas os modelos em si .	what 's really important to know is that it 's the conversations that are the important aspects , not just the models themselves .
e nunca antes tivemos o luxo de a ter como garantida porque agora e tao barata .	and never before have we had the luxury of taking it for granted because it is now so cheap .
mas vejam isso desta maneira .	but look at it this way .
estamos a centrar-nos no hardware porque e o hardware que pode mudar a vida das pessoas de uma maneira realmente palpavel .	we 're focusing on hardware because it is hardware that can change people 's lives in such tangible material ways .
e acho que percebi porque .	and i think i 've worked out why .
estamos em ramallah .	we 're in ramallah right now .
nao se pode proteger com direitos de autor uma receita por ser um conjunto de instrucoes . sao factos . e nao se pode proteger com direitos de autor o visual e a essencia nem do prato mais original .	you can not copyright a recipe because it 's a set of instructions , it 's fact , and you can not copyright the look and feel of even the most unique dish .
conseguem ver como e que os vossos conhecidos comunicam uns com os outros ; a que horas ligam , quando vao para a cama .	but you can see how your people are communicating with each other , what times they call each other , when they go to bed .
aqui temos raios de bruma .	here we have the fog beams .
quando eu desmontei aquele elefante , sabem qual foi a parte extraordinaria ?	when i came home off that elephant , do you know what the most amazing part was ?
sabem , convenceram-me . estou certo que alguns de vos eram como eu — a ultima e maior das coisas , o palmpilot .	you know , they convinced me . i 'm sure some of you were like me — the latest and greatest thing , the palmpilot .
nos , os pais , temos toda a certeza de que vale a pena .	well , we parents , we parents are pretty sure it 's all worth it .
agora podemos ver o que acontece .	and now we can see what happens .
ele ja pensava que eu era suficientemente louca .	he thought i was mad enough anyway .
os anunciantes acabavam por retirar os seus anuncios .	advertisers would withdraw their advertising .
e preciso nos compreendermos duas coisas muito importantes . primeiro , que querer perceber os tais documentos publicos nao e um capricho , nao e uma curiosidade intelectual .	we need to understand two very important things : first , wanting to understand these public documents is not a whim , is not an intellectual curiosity .
ora bem , ponham-se no lugar dessa mae .	now , put yourself in the shoes of that mom .
e uma doenca que e bastante raro .	this one is a disorder which is quite rare .
`` na sua estrutura de dupla helice , as duas cadeias do adn mantem-se ligadas por uns `` '' degraus '' '' , como um escadote torcido . ''	the two strands of dna , the double-helix structure , are held together by rungs ; it 's like a twisted ladder .
eu tinha cerca de 10 anos e ia acampar com o meu pai nas montanhas adirondack , uma zona selvagem no norte do estado de nova iorque .	i was about 10 years old on a camping trip with my dad in the adirondack mountains , a wilderness area in the northern part of new york state .
sentaram-se a mesa oito entidades .	eight entities came to the table .
uma das primeiras coisas que pensamos que deveriamos abordar seria como conseguiriamos prever as epidemias .	so one of the first things we thought we would tackle would be how we go about predicting epidemics .
que realidade estao a criar para voces mesmos ?	what reality are you creating for yourself ?
alteram os fatos ao seu gosto .	they bend them to their will .
mas isso e um grande problema .	but that is a huge problem .
e depois tambem existem novos desafios , daqueles que nao estamos a espera .	and then there are the new challenges , which we do n't expect .
se olharem para o caso das casas de banho , todas elas apresentam ecossistemas similares , e se olharem para o caso das salas de aula , tambem apresentam ecossistemas similares entre si .	if you look inside the restrooms , they all have really similar ecosystems , and if you were to look inside the classrooms , those also have similar ecosystems .
e outra vez , levou-nos muito tempo a juntar a roda e a mala ...	but then again , it took us a long time to put the wheel and the suitcase together .
vou falar-vos de um trabalho que a minha equipa e eu estamos a fazer na australia , na universidade de queensland , numa tecnologia preparada para resolver esses 4 problemas .	i 'm going to tell you about some work that my team and i are doing in australia at the university of queensland on a technology designed to tackle those four problems .
sou oceanografa quimica .	well , i 'm an ocean chemist .
entao , se estamos mesmo prontos para falar sobre o futuro , talvez devessemos comecar por reconhecer que estamos a ficar sem tempo .	so if we 're really ready to talk about the future , perhaps we should begin by admitting that we 're out of time .
nos , por outro lado , temos escolha .	we , on the other hand , do have a choice .
`` elas nao vivem a experiencia das amarras como nos a viveriamos . '' '' nao tive coragem de lhe dizer naquele momento que nao , nao somos assim tao diferentes dele . ''	`` they would n't experience restraints as we would . '' '' i did n't have the courage to tell him in that moment that , no , we 're not that different from him . ''
o gratis e algo que vem com o digital , porque os custos de reproducao sao essencialmente gratis . chega com o ip , porque e um protocolo tao eficiente . chega com a fibra optica porque permite muita largura de banda .	free is something that comes with digital , because the reproduction costs are essentially free . it comes with ip , because it 's such an efficient protocol . it comes with fiber optics , because there 's so much bandwidth .
e no inicio , muito poucas pessoas estao afectadas , e obtemos esta curva sigmoide , ou em forma de s .	and at the very beginning , not too many people are affected , and you get this classic sigmoidal , or s-shaped , curve .
e a grande arte teria cabeca : teria ideias intelectuais interessantes e conceitos .	`` and great art would have `` '' head '' '' : it would have interesting intellectual ideas and concepts . ''
e vejam aqui quando eu vos levo para os meus graficos de bolas .	and look here when i take you into my bubble graphs .
como e que hipomenes a venceu ?	how did hippomenes beat her ?
uma coisa ligeiramente tola , que e invisivel e esta historia , que e invisivel , para voces .	one slightly silly thing that 's invisible is this story , which is invisible to you .
a nossa mae tambem .	and so did our mother .
entao , os meus dentes na verdade mantiveram o meu maxilar inferior na posicao correta .	so my teeth actually hold my jaw in the correct position .
entao , sei que fui super rapido . se vos escapou alguma coisa ,	so i know i went super fast .
criamos uma reacao emocional a estas formas .	we created an emotional reaction to these forms .
uma das melhores maneiras de matar mosquitos , e nao os deixar chegar a adultos para andarem por ai a voar a picar pessoas e a transmitir doencas .	one of the best ways of killing mosquitos is not to wait until they fly around like adults and bite people and transmit disease .
eles tem a samsung , como podem ser um pais em desenvolvimento ?	they get samsung , how can they be [ a ] developing country ?
era uma ficcao criada pelos meus medos , mas eu acreditava nela .	this was a fiction born of my fears , but i believed it .
( aplausos ) se processarmos as mesmas duas imagens de forma diferente , conseguimos mesmo ver-nos livres do texto do livro de oracoes .	( applause ) if you process the same two images in a different way , you can actually get rid of the prayer book text .
todas estas centrais de carvao ja existentes fecharam .	all of these existing coal plants were retired .
responsabilidade .	accountability .
mas , e se fosse verdadeira ?	but what if there was something to it ?
naquela epoca , estas palavras estavam destinadas a atingir os britanicos , mas nos ultimos 200 anos , elas encarnam o que muitos ocidentais acreditam , que a liberdade e o bem mais valioso e que os melhores sistemas politicos e economicos tem a liberdade como parte integrante .	at the time , these words were earmarked and targeted against the british , but over the last 200 years , they 've come to embody what many westerners believe , that freedom is the most cherished value , and that the best systems of politics and economics have freedom embedded in them .
nao se pode fugir do sofrimento nem encontrar o sentido .	you ca n't buy your way out of suffering or into meaning .
`` seria um `` '' chip '' '' personalizado a sua medida . ''	it would be a personalized chip just for you .
no entanto , ao longo dos cinco anos seguintes ela voltava nos meses de inverno .	and yet , for the next five years she returned in the winter months .
mais recentemente temos estudado as resinas que as abelhas recolhem das plantas .	and more recently , we 've been studying resins that bees collect from plants .
entao , se somos nos os donos dos mercados de capitais , porque nao conseguimos sermos ouvidos ?	so if we are the ultimate owners of the capital markets , why are n't we able to make our voices heard ?
`` a pior mensagem que ja recebemos dizia exatamente o seguinte : `` '' ele nao deixa de me violar . ''	`` and the worst message we ever got said exactly this : `` '' he wo n't stop raping me . ''
sao sobre onde moramos , com quantas pessoas vivemos , se somos donos ou nao das nossas casas .	they 're about where you live , how many people you live with , and whether you own your home or not .
temos entao uma especie de dupla natureza .	so we have this kind of dual nature .
tambem aprendi como o lixo e implacavel .	i also learned about the relentlessness of trash .
continuo a pensar nestes rapazes sem bracos .	i keep thinking about these kids with no arms .
nos ainda gostamos de consumir , claro .	we still like to consume , of course .
parece que parei o programa .	it looks like i 've paused the program .
existem arquitectos e construtores de cidades bastante interessados .	there 's designers and builders of cities who are very interested .
mas isto nao e so sobre como sobreviver no papel duplo de ter uma carreira e ser mae .	but this is not just about surviving in your dual role as a career woman and mother .
acontece que esta gera alguma mudanca , mas nao muita .	it turns out , it does a little , but not a lot .
( aplausos )	( applause )
isto e uma morte na estrada .	this is roadkill .
por vezes , reparava que nao conseguia desenhar o lado direito de um circulo .	sometimes i would find that i could n't draw the right side of a circle .
( risos ) mas esperem , este e o meu projeto favorito .	( laughter ) but wait , this is actually my favorite project .
mk : ela foi quem mais apoiou a minha carreira . e sabia que era a coisa certa a fazer .	mk : she was the biggest supporter of my career , and i knew it was the right thing to do .
quantos aqui conseguiram passar em anatomia ?	how many of you here made it through anatomy ?
e em seattle , pega-se nisto — isto e um hemisferio humano inteiro — e colocamo-lo dentro do que e basicamente um cortador de carne chique .	and in seattle , we take these — this is a whole human hemisphere — and we put them into what 's basically a glorified meat slicer .
entao era esse o seu sonho , de certo modo , desde jovem ?	so that was a dream of yours , in a way , from a young age ?
todos precisamos de pessoas que nos avaliem .	we all need people who will give us feedback .
bom , nesse caso , talvez nao precisemos de guardar rancor da excelencia de alguem .	well , maybe then we would n't have to resent somebody 's excellence .
isto nao e apenas uma coisa boa . eu acho que e um imperativo social .	`` and this is n't even just a `` '' nice to have . '' '' i think it 's a social imperative . ''
quando olho para a minha cidade destruida , e claro , pergunto-me : o que levou a esta guerra sem sentido ?	when i look at my destroyed city , of course , i ask myself : what has led to this senseless war ?
assustados , tambem , pelas rixas e brutalidades .	they were scared from all the fighting and all the bullying .
e tambem a ideia da fachada era muito mais barata , nao so devido ao material , em comparacao com o vidro , mas tambem porque nao precisariamos de ter ar condicionado .	and also that the idea of the facade was much , much cheaper , not only because of the material compared with the glass , but also because we did n't need to have air conditioning anymore .
sim , os criminosos informaticos tambem fazem festas de natal , como se mostra .	that 's right , cybercriminals do have christmas parties , as it turns out .
a inveja [ e o ciume ] gostam de detalhes .	jealousy likes details .
essa e uma combinacao mais significativa , muito mais poderosa .	that 's a much more meaningful combination , a more powerful combination .
ou sera que depende do observador ?	or is it observer-relative ?
os sintomas do complexo sao que , independentemente da complexidade do problema , a pessoa tem uma crenca absolutamente inabalavel que a sua solucao e infalivelmente certa .	so the symptoms of the complex are , no matter how complicated the problem , you have an absolutely overwhelming belief that you are infallibly right in your solution .
e no meu 17.º aniversario , depois do meu fingido exame aos olhos , o oftalmologista apercebeu-se que era o meu dia de anos ,	and on my seventeenth birthday , after my fake eye exam , the eye specialist just noticed it happened to be my birthday .
desta forma , com o metodo comum , as celulas disparam , mas nao segundo os padroes normais , porque nao tem o codigo certo .	and so with the standard method , the cells do fire , they just do n't fire in the normal firing patterns because they do n't have the right code .
e disso que precisaremos a medida que formos avancando de sonhar e imaginar o que ira ser mesmo necessario para construir uma economia global que inclua todos nos . e finalmente estender essa proposicao fundamental de que todos os homens sao criados igualmente , a todos os seres humanos do planeta .	for that is what we 'll need , as we move forward to dream and imagine what it will really take to build a global economy that includes all of us , and to finally extend that fundamental proposition that all men are created equal to every human being on the planet .
foram retirados ipsis verbis das declaracoes da propria palin .	they were lifted verbatim from palin 's own remarks .
entao , num dia , um dia tipico ensolarado na amazonia , uma arvore grande chega a transferir mil litros de agua atraves da evaporacao . mil litros .	so , in a typical sunny day in the amazon , a big tree manages to transfer 1,000 liters of water through its transpiration — 1,000 liters .
funcionavam das 10h as 3h . fechavam a hora de almoco .	they operated 10 to 3. they were closed for lunch hour .
dm : eu estou a sugerir que temos de ter uma mente aberta .	dm : i 'm suggesting we have to be open-minded .
nao fez eletrificacao rural .	it did n't do rural electrification .
`` `` '' nao , general . nao pode pagar-me . tenho sido pago . ''	`` `` '' no , general . you ca n't pay me . i 've been paid . ''
nao , nao estou a mostrar nenhumas imagens , porque os buracos negros nao deixam para tras trilhos uteis de tinta , e o espaco nao e pintado , mostrando-vos as curvas .	no , i 'm not showing you any images , because black holes do n't leave behind helpful trails of ink , and space is not painted , showing you the curves .
realmente esta bastante ocupado .	it 's actually pretty busy .
estamos tambem a obter , claro , muitos lolcats .	we 're also getting , of course , a lot of lolcats .
novas particulas podem aparecer imediatamente como bossas grandes e obvias , ou podem-se revelar depois de anos de aquisicao de dados .	new particles can either show up immediately as big , obvious-to-spot bumps , or they can only reveal themselves after years of data taking .
e a cena repete-se tantas vezes .	and the scene repeats itself so often .
todas estas informacoes sao obrigatorias . a lingua chinesa nao me deixa ignora-las .	all of this information is obligatory . chinese does n't let me ignore it .
aprendi que o meu lugar nao e so no ocidente ou em africa e que ainda estou a procura da minha identidade , mas vi o gana criar uma melhor democracia .	now i have learned that my place is not just in the west or in africa , and i 'm still searching for my identity , but i saw ghana create democracy better .
se alguma coisa matar mais de 10 milhoes de pessoas nas proximas decadas , e muito mais provavel dever-se a um virus altamente contagioso do que a uma guerra .	if anything kills over 10 million people in the next few decades , it 's most likely to be a highly infectious virus rather than a war .
colaborador : senti-me realmente triste quando ele morreu .	collaborator : i felt really sad when he died .
isto ja esta a comecar a acontecer na africa subsariana .	this is already beginning to happen in sub-saharan africa .
ou seja , quantos anos viveram .	so , how many years they lived .
pode parecer futil , mas nao e .	it might seem frivolous , but it 's not .
nao havia agua . nao havia energia , petroleo , carros , nada disso .	there was no water . there was no energy , no oil , no cars , none of that .
e uma forma antiga do livro e o rolo de pergaminho .	and one ancient form of the book is scrolls .
`` e depois : `` '' quem nao podia pagar ? '' '' `` `` eu nao podia pagar . '' '' ''	so who could n't pay ? i could n't pay .
pode nao ser o que queres escutar em casa , mas funciona muito bem no carro — tem uma enorme gama de frequencias , sabes , um grande baixo e alta qualidade e a voz como agarrada no meio .	it might not be what you want to listen to at home , but it works great in the car — has a huge frequency spectrum , you know , big bass and high-end and the voice kind of stuck in the middle .
nao e um codigo muito complicado .	it 's not very complicated code .
entao , vao fazer o primeiro solo que fizemos , sim bla bla bla bla , entramos no dueto , sim , bla bla bla bla . o proximo solo , bla bla bla bla , sim , e os dois ao mesmo tempo . fazes as ultimas solucoes .	so , you 're going to do the first solo that we made , yeah blah blah blah blah , we go into the duet , yeah , blah blah blah blah . the next solo , blah blah blah blah , yeah , and both at the same time , you do the last solutions .
( risos ) as galaxias , estimadas em 100 bilioes , no universo .	( laughter ) galaxies , 100 billion of them estimated in the universe .
quanto a mama , os nossos resultados sao melhores do que os cirurgicos .	and we have better-than-surgery results in breasts .
mais uma vez e util fazer uma analogia entre a leitura e a escrita .	again , it 's useful to make an analogy to reading and writing .
e isto deu a einstein um grande destaque em todo o mundo .	and this gained einstein prominence around the world .
e porque e que fizemos essas experiencias ?	why did we set up these experiments ?
ficavam ali ate que , a certa altura , a prisao estava a transbordar e eles queriam meter mais alguem .	you 'd stay until , at some point , the jail would be booked to capacity , and they 'd want to book someone new in .
portanto , as estatisticas sao a nossa vida em grupo , nao como pessoas individuais .	so statistics are about us as a group , not us as individuals .
na faculdade , era uma remadora de mao cheia e ate competiu por um lugar na equipa olimpica dos eua , de 1992 mas isto era diferente .	she was an accomplished rower in college , even competed for a spot on the 1992 u.s. olympic team , but this , this was different .
ha algo que existe quando nao estamos a olhar , mas nao e o espaco-tempo nem os objetos fisicos .	there 's something that exists when you do n't look , but it 's not spacetime and physical objects .
okay . quem aqui nao da nada por eles ?	okay . who here , it does nothing for them ?
`` no teatro , a faca nao e uma faca e o sangue e apenas `` '' ketchup '' '' . ''	in the theater , the knife is not a knife and the blood is just ketchup .
os programas de proteccao civil estavam desligados da realidade do que assistiriamos numa guerra nuclear total .	the civil defense programs were disconnected from the reality of what we 'd see in all-out nuclear war .
nesta epoca , em que tudo parece estar desenhado , medido e estudado , nesta epoca da informacao , recordo-vos que as descobertas nao sao feitas no buraco negro do desconhecido mas no ruido branco de dados esmagadores .	and in this age , where everything seems mapped , measured and studied , in this age of information , i remind you all that discoveries are not just made in the black void of the unknown but in the white noise of overwhelming data .
`` mas tambem imaginavam , algumas vezes : `` serei um verdadeiro pai ? '' ''	but they also sometimes wondered : am i a real parent ?
entao , o que fazer ?	so , what to do ?
e por isso , quis que a capa deste livro fosse uma deturpacao de si propria e que de alguma forma mostrasse a reacao do leitor a isso .	and so i wanted the cover of this book to also misrepresent itself and then somehow show a reader reacting to it .
mt : a sua grande ideia era a corrente alternada .	mt : his great idea was alternating current .
e dificil para as pessoas deixarem mas impressoes .	it 's hard for people to leave bad reviews .
todos dizem que as baterias sao muito caras .	everybody tells us batteries are so expensive .
imaginem o efeito da luz das velas naquela superficie ,	imagine that effect of candlelight on that surface .
estamos todos aqui , e todos aqueles que assistiram ficarao traumatizados por este evento , mas todos voces que sao vitimas vao aprender algumas verdades dolorosas .	we 're all here , and all of those who watch it are going to be traumatized by this event , but all of you here who are victims are going to learn some hard truths .
o envio de sms e representado significativamente na juventude de grupos minoritarios e urbanos .	texting actually overindexes for minority and urban youth .
e isto leva-me a minha modesta proposta .	and this brings me to my modest proposal .
mas quando a politica e sobre nos , os nossos vizinhos e as pessoas na nossa comunidade , juntos na criacao de experiencias de voz coletiva e imaginacao , comecamos a lembrar-nos de que isto importa .	but when politics is about us and our neighbors and other people in our community coming together to create experiences of collective voice and imagination , then we begin to remember that this stuff matters .
tem sido uma experiencia incrivel .	and it 's been an incredible experience .
o especial foi a forma da abordagem deles .	what was special was their approach .
sabemos que utilizaremos eletricidade daqui a 20 ou 30 anos .	we know we 'll use electricity in 20 or 30 years ' time .
mas eles nao estavam a perceber isso .	and so they still were n't getting it .
e adoro cavar um buraco .	and i love to dig a hole .
`` `` nao . esse corpo esta desfeito . ja nao me serve para nada . '' ''	`` `` no . that body is broken . it can no longer serve me . '' ''
poderia deliciar-vos com historias de ignorancia atraves de decadas de experiencia como perito forense em simplesmente tentar levar a ciencia a sala do tribunal .	i could regale you with horror stories of ignorance over decades of experience as a forensic expert of just trying to get science into the courtroom .
durante um ano , uma central pode fornecer energia 92 % do tempo .	during a year , a single plant can provide power 92 percent of the time .
qual a diferenca entre ambos ?	what 's the difference between those ?
penso que e provavelmente uma das tendencias tecnologicas mais importantes que estamos a ver hoje .	and i think that 's probably one of the most important technology trends that we 're looking at today .
isto sao casas de banho composto . e ninguem na escola queria ouvir falar delas , especialmente o reitor .	these are compost toilets , and nobody at the school wanted to know about them , especially the principal .
18 cabecas , 18 corpos , 18 misterios .	18 heads , 18 bodies , 18 mysteries .
porque e que nao havia uma forma legal de ela estudar na europa ?	why was n't there a legal way for her to study in europe ?
mas a maioria dos estranhos nao sao perigosos .	but most strangers are n't dangerous .
( risos ) no final do curso , os estudantes obtiveram um certificado .	( laughter ) at the end of the course , the students got a certificate .
como muitos de voces sabem , os individuos que sofrem de tdah tambem tem dificuldades de aprendizagem .	as many of you know , individuals afflicted with adhd also have learning disabilities .
e 20 vezes o central park .	that 's 20 central parks .
mas , onde ha uma crise , tambem ha oportunidades .	but where there is crisis , there is also opportunity .
e tambem a historia do capitalismo moderno . porque foi da riqueza desta terra que surgiu o nosso sistema economico , um sistema que nao pode sobreviver sem crescimento perpetuo e um fornecimento sem fim de novas fronteiras .	and it 's also the story of modern capitalism , because it was the wealth from this land that gave birth to our economic system , one that can not survive without perpetual growth and an unending supply of new frontiers .
comecamos ... por pensar que a agua e como o sangue .	we 'll start by thinking that water is like blood .
esta e a sua caligrafia na manha do tratamento antes do procedimento na rm . agora vou-vos mostrar como e um procedimento padrao , como e uma cirurgia nao invasiva .	this is his handwriting on the morning of the treatment before going into the mr so now i 'll take you through [ what ] a typical procedure like that looks like , [ what ] noninvasive surgery looks like .
entao eu posso analisar o que eu ja fiz em determinadas alturas .	so i can drill into what i 've done over specific time frames .
se comprimirem a materia , a temperatura sobe .	if you squeeze things together , the temperature goes up .
o objectivo e ser uma cidade milenar como muitas outras : istambul , roma , londres , paris , damasco , cairo .	our objective is to be a millennium city , just like many millennium cities around : istanbul , rome , london , paris , damascus , cairo .
primeiro , que ensinar cirurgia e fazer cirurgia e mesmo dificil .	number one : teaching surgery and doing surgery is really hard .
por isso estas pessoas eram absolutamente fundamentais .	so these guys were absolutely crucial .
nos compramos , vendemos , espalhamos e fazemos a guerra .	we buy it , sell it , spread it and wage it .
depois de escalar uma colina ingreme e de limpar o suor da testa , descreveu o que viu , abaixo dele .	after climbing a steep hill and wiping the sweat from his brow , he described what he saw beneath him .
`` para as marcas , os `` '' malucos por tenis '' '' sao uma populacao importante . ''	for the brands , sneakerheads are a very important demographic .
e se existisse um meio nativo para o valor ?	what if there were a native medium for value ?
eu agarrei-me a isto como gato a bofe .	i took to this like a duck to water .
e quase do tamanho da franca , mas sofre de muitas das barreiras principais existentes no mundo das vacinas atuais .	it 's about the same size as france , but it suffers from many of the key barriers existing within the world of today 's vaccines .
talvez pareca uma contramedida pequenissima para um grande , um enorme problema — vamos la plantar flores — mas quando as abelhas tem acesso a uma boa alimentacao , nos temos acesso a uma boa alimentacao atraves dos seus servicos de polinizacao .	so maybe it seems like a really small countermeasure to a big , huge problem — just go plant flowers — but when bees have access to good nutrition , we have access to good nutrition through their pollination services .
tenho um lapis que te posso emprestar .	i got a pencil you can borrow .
no cenario de boltzmann , se se quer fazer uma tarte de maca , e so esperar pelo movimento aleatorio de atomos que nos facam uma tarte de maca .	in boltzmann 's scenario , if you want to make an apple pie , you just wait for the random motion of atoms to make you an apple pie .
gratuitamente .	for free .
primeiro , o que e isso ?	first off , what is it ?
penso que esta e a ciencia mais fixe possivel .	i think this is the coolest possible science .
a agricultura de subsistencia esta a acabar .	subsistence farming is drying up basically .
o que implica esta compaixao ?	what does this compassion entail ?
e nao sou a primeira pessoa a interrogar-se .	and i 'm not the first person to ask this question .
tambem temos uma fundacao comprometida em trabalhar atraves de parceiros e ajudar a melhorar as vidas e proteger os direitos de 100 milhoes de criancas ate 2015 .	we also have a foundation that 's committed to work through partners and help improve the lives and protect the rights of 100 million children by 2015 .
ao motivar as pessoas a amar e a defender o mundo natural , um quilograma de esperanca vale uma tonelada de desespero .	in motivating people to love and defend the natural world , an ounce of hope is worth a ton of despair .
e isso fascinou-me , porque passei a maior parte da minha vida a volta de uma camara .	and that fascinated me , because i 'd been messing around with a camera most of my life .
e se a tv estivesse ligada , estavamos a ver um documentario .	and if the tv was on , we were watching a documentary .
o indice de propriedade imobiliaria e o menor desde 1995 .	home-ownership rates are at their lowest since 1995 .
os insectos sao animais que andam sobre seis patas .	insects are animals that walk around on six legs .
apenas por me dar as chaves do seu carro o meu irmao foi detido duas vezes e ele foi assediado a tal ponto que teve de desistir do seu trabalho como geologo deixar o pais com a sua esposa e o filho de dois anos .	just for giving me his car keys , my own brother was detained twice , and he was harassed to the point he had to quit his job as a geologist , leave the country with his wife and two-year-old son .
mas a terra e muito , muito velha .	but the earth is very , very old .
e e um pouco ironico que comecamos a romper com o sistema educativo tradicional , e com isso , acabamos por fazer da nossa aula online mais uma aula universitaria tradicional do que outras aulas online .	and it 's a little bit ironic that we set about to disrupt traditional education , and in doing so , we ended up making our online class much more like a traditional college class than other online classes .
daqui a alguns anos , estarao em muitos dos objetos e tecnologias que usamos diariamente .	in a few years , they will be in many of the objects and technologies we use on a daily basis .
vamos voltar a questao do nosso diretor .	let 's come back to our tech ceo 's question .
ha 100 % de estrela de anis naquilo .	there 's 100 percent star anise in there .
nada poderia ser menos materialista , ou mais sentimental , do que um adolescente comprar umas calcas de ganga novas e rasga-las ate ao joelhos , porque ele quer agradar a jennifer .	nothing could be less materialistic , or more sentimental , than a teenager buying brand new jeans and tearing them at the knees , because he wants to please jennifer .
diz claramente para o que e o medicamento , especificamente para quem e benefico , portanto podemos comecar a personalizar o nosso entendimento se a informacao e relevante para voces ou se o medicamento e relevante para voces .	it says very clearly what the drug is for , specifically who it is good for , so you can start to personalize your understanding of whether the information is relevant to you or whether the drug is relevant to you .
mas , depois de acabar a faculdade , e de ter o diploma na mao , encontrei-me a passar de um emprego menos ideal para outro .	but after i graduated from college and got a graduate degree , i found myself moving from one less ideal job to another .
uma corrente de agua refrescante , poderao dizer .	a cool and refreshing stream of water , you say .
isso esta absolutamente certo para que as pessoas sigam os seus interesses .	that 's absolutely the right thing , for people to follow their self-interest .
as iniciais significavam programacao logica para automacao de operacoes de ensino .	the initials stood for programmed logic for automated teaching operations .
seria fantastico .	that would be awesome .
a tecnologia e transformadora .	technology is transformational .
tem esta missao : mudar a forma como a comunicacao publica e feita .	it has this mission : to change the way how public communication is made .
portanto , se o que nos queremos e justica , entao acho que nao nos devemos focar na imprensa ou em contadores de historias .	and so if it is justice that we are after , then i think we must n't focus on the media or on storytellers .
e eu lembrei-me de um sujeito velho e bebado veio um dia ao laboratorio esperando fazer algum dinheiro facil e este era o tal pessoa .	and i remembered that the old and drunken guy came one day to the lab wanting to make some easy cash and this was the guy .
nao estou a tentar passar uma mensagem niilista ,	now i 'm not trying to deliver a nihilistic message here .
entao olhando para coisas como aglomerados de galaxias , e como elas — a sua densidade numerica , quantas existem como funcao do tempo — podemos aprender como esta materia escura e energia escura competem entre elas na formacao de estruturas .	so by looking at things like clusters of galaxies , and how they — their number density , how many there are as a function of time — we can learn about how dark matter and dark energy compete against each other in structure forming .
muito obrigada .	thank you very much .
vemos aqui um ferimento de bala na nuca ou uma ferida de catana , por exemplo .	so here you see a gunshot wound to the back of the head or a machete wound , for example .
por isso , temos um problema .	so we have a problem .
sao bastante quebradicas . pelo que aqui apenas esta parte de uma .	they are quite brittle . so you 've only got a part of one there .
`` `` '' na verdade , a materia viva parece comportar-se numa ordem , numa estrutura , `` '' semelhante a da materia inanimada quando perto do zero absoluto , `` '' onde os efeitos quanticos desempenham um papel muito importante . ''	in fact , living matter seems to behave in this order , in a structure , just like inanimate matter cooled down to near absolute zero , where quantum effects play a very important role .
e um hotel que apenas se encontra aberto ate a meia-noite , logo nao e um sitio onde se possa pernoitar .	it 's a hotel that 's only open until midnight , so it 's not a place that you stay .
e quando sou reconhecido , e um bocado como um sabe-tudo .	and when i do , it 's as a bit of a know-it-all .
eu nao poderia salvar o mundo ; ninguem pode .	i mean , i ca n't save the world . nobody can .
( risos ) novembro de 2005 : as ruas estao a arder .	( laughter ) november 2005 : the streets are burning .
como era adolescente , culpava-me por tudo o que tinha acontecido .	as a teenager , i was blaming myself for everything that happened .
ninguem sabe quem ou o que ele e .	no one knows who or what he is .
obrigado .	thank you .
se os especialistas descobrem qualquer problema , e recomendado um tratamentos apropriado .	and if any problems are spotted by the specialists there , a suitable course of treatment is recommended .
e nao so da mais poder as comunidades , mas mais importante , esta informacao fica na comunidade onde e necessaria para formular politicas de saude a longo-termo .	and not only is it empowering to the communities , but really importantly , this information stays in the community where it is needed to formulate long-term health polices .
mas nao estamos aqui para contar historias , pois nao ?	but we are not here to tell stories , are we ?
para mim , as palavras sao mais como instintos e linguagem .	to me , words are more like instincts and language .
mas queriamos estabelecer o caso economico , porque se pudermos estabelecer o caso economico , entao o valor desta acao seria extremamente recompensador .	but we wanted to make the economic case , because if we could make the economic case , then the value of doing this would be completely compelling .
